F6
FB
00
05
0B
0D
06
03
01
00
FF
FF
01
00
FF
00
01
02
04
06
09
0D
0F
0F
12
16
17
17
18
1A
1B
1C
1C
1B
1D
20
21
1F
1F
1F
1E
1C
1B
1A
1B
1C
1C
1B
1D
1D
1F
21
22
23
25
26
29
2B
2D
30
30
32
34
37
37
36
35
32
2D
2C
2D
2E
2E
2F
2F
2F
30
2F
2F
30
32
34
35
33
30
2D
2D
2D
2D
2B
2A
2C
2E
2C
2B
28
27
28
28
28
26
25
23
22
21
22
23
24
25
27
28
28
2B
2E
32
34
34
36
36
34
31
2E
2D
2C
2C
2B
29
26
24
23
21
20
1E
1F
1F
1F
20
20
20
21
21
21
20
1E
1F
20
1F
1D
1B
1A
1A
1A
18
18
18
17
16
16
17
16
11
0F
0E
0D
0C
0A
08
08
05
05
01
FF
FE
FE
FD
FA
F8
F5
F3
EF
EA
E6
E1
DD
D9
D8
D6
D4
D2
D1
CE
CB
CA
C6
C2
BF
BE
BB
B8
B5
B2
B0
AF
AE
AE
AD
AC
AC
AC
AC
AA
AA
AA
AA
A9
A9
AA
AB
AA
A9
AA
AB
AB
AA
A9
A7
A4
A2
A0
9E
9E
A1
A5
A7
A8
A7
A5
A2
9F
9B
99
F9
FD
02
08
0E
10
09
06
04
03
02
02
04
02
01
02
04
06
08
0A
0D
10
12
13
16
19
1A
1B
1C
1E
1F
20
20
1F
21
24
24
23
23
23
22
20
1F
1E
1F
20
20
20
21
22
23
25
26
27
29
2A
2E
31
33
35
35
37
3A
3C
3C
3B
3B
37
33
31
32
34
34
34
35
35
35
34
34
35
37
39
3B
38
36
32
32
32
32
30
2F
31
33
31
30
2C
2B
2C
2B
2B
29
28
26
25
24
25
26
27
28
2A
2C
2C
2F
33
37
39
39
3B
3B
39
36
33
32
32
32
31
2E
2B
29
27
25
24
22
23
24
23
24
24
25
25
25
25
24
23
23
24
23
22
20
1F
1E
1E
1C
1C
1C
1B
1A
1A
1B
1A
15
14
12
12
10
0E
0C
0C
0A
09
06
02
01
01
01
FD
FB
F8
F6
F2
EE
EA
E5
E1
DD
DB
D9
D7
D5
D4
D1
CE
CD
C9
C5
C2
C1
BE
BB
B8
B5
B3
B1
B0
B0
AF
AE
AD
AE
AE
AC
AC
AC
AC
AB
AA
AB
AC
AC
AB
AC
AD
AC
AC
AB
A9
A6
A4
A1
A0
A0
A3
A6
A8
A9
A9
A7
A4
A1
9D
9B
FB
00
05
0B
11
13
0D
0A
08
06
05
06
07
06
05
06
08
09
0C
0E
11
14
16
17
19
1D
1E
1F
20
21
22
23
24
23
25
28
28
27
27
27
25
24
23
22
23
24
24
24
25
26
27
29
2A
2B
2E
2F
34
36
38
3A
3B
3C
3F
41
41
40
40
3D
38
37
38
39
39
3A
3A
3A
3B
39
3A
3B
3D
3F
40
3D
3B
38
38
37
37
35
34
36
37
36
34
31
2F
30
30
2F
2D
2B
29
28
27
28
29
2A
2C
2E
30
31
34
37
3B
3E
3E
3F
40
3E
3B
39
38
38
38
36
34
30
2D
2B
29
28
26
27
28
27
28
28
29
29
29
29
28
27
27
28
27
26
24
23
22
22
21
20
21
1F
1E
1E
1F
1E
1A
18
17
16
15
12
11
11
0E
0E
0A
07
05
06
04
01
FE
FC
F9
F6
F1
ED
E9
E5
E1
DF
DC
DA
D8
D6
D3
D1
CF
CC
C8
C5
C4
C1
BE
BB
B8
B6
B4
B3
B2
B0
B0
AF
B0
AF
AE
AE
AE
AE
AD
AC
AD
AE
AD
AD
AD
AE
AE
AE
AD
AB
A8
A6
A3
A2
A2
A5
A8
AA
AB
AB
A9
A6
A3
9E
9D
FD
02
08
0E
14
16
10
0D
0B
0A
09
09
0B
09
08
0A
0C
0D
0F
12
14
18
19
1A
1D
20
21
22
23
25
26
27
27
26
28
2B
2C
2B
2A
2A
29
27
27
26
27
28
28
27
29
29
2B
2E
2F
31
33
34
39
3B
3D
3F
40
41
44
46
46
45
45
41
3D
3C
3D
3E
3E
3F
3F
3F
40
3F
3F
40
42
44
45
42
40
3D
3C
3C
3C
3A
39
3A
3C
3A
39
35
34
34
34
33
31
2F
2C
2B
2A
2B
2D
2E
30
32
35
35
38
3C
40
42
43
44
45
43
40
3E
3D
3D
3D
3B
39
35
33
31
2F
2C
2A
2B
2C
2B
2D
2D
2D
2E
2E
2E
2D
2B
2B
2C
2B
29
28
27
26
26
25
24
24
23
22
22
23
22
1E
1C
1B
1A
19
17
15
15
13
12
0F
0B
0A
0A
09
05
02
FF
FD
F9
F5
F1
ED
E9
E5
E3
E0
DE
DB
D9
D6
D4
D2
CE
CB
C8
C7
C4
C1
BE
BB
B9
B8
B6
B5
B4
B2
B2
B3
B2
B0
B0
B0
B0
AF
AE
AF
B0
AF
AF
AF
B0
AF
AF
AE
AD
A9
A7
A5
A3
A4
A7
AA
AC
AC
AC
AA
A7
A5
A0
9F
FF
05
0B
11
17
19
13
