F1									F2									F3									F4							
0	1	2	3	4	5	6	7		0	1	2	3	4	5	6	7		0	1	2	3	4	5	6	7		0	1	2	3	4	5	6	7
1	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0		0	0	0	0	0	0	0	1		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	1	0	0	0	0	0	0		0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0		0	1	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0		0	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0		1	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	1		0	1	0	0	0	0	0	0
																																		
																																		
																																		
																																		
F1									F2									F3									F4							
0	1	2	3	4	5	6	7		0	1	2	3	4	5	6	7		0	1	2	3	4	5	6	7		0	1	2	3	4	5	6	7
1	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0		0	0	1	0	0	0	0	0		0	0	0	0	1	0	0	0
0	1	0	0	0	0	0	0		0	0	0	0	0	0	0	1		0	0	0	1	0	0	0	0		0	0	0	0	0	1	0	0
0	0	0	1	0	0	0	0		0	0	0	0	0	1	0	0		0	1	0	0	0	0	0	0		0	0	0	0	0	0	0	1
0	0	1	0	0	0	0	0		0	0	0	0	1	0	0	0		1	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	1		0	1	0	0	0	0	0	0		0	0	0	0	0	1	0	0		0	0	0	1	0	0	0	0
